bangla_speech,barishal_bangla_speech,chittagong_bangla_speech,mymensingh_bangla_speech,noakhali_bangla_speech,sylhet_bangla_speech
কেমন আছো ?,আসো কোরোহম?,কেন আচো?,কেমত আছো?,কেইক্কান আছেন ?,ভালা আছনি?
আজকে আমার মন ভালো নেই,আইজ মোর মনডা ভালোনা,আযিয়া আর মন বালা নাই?,আইজ আমার মন ভালা নাই,আইজ্জা আর মন ভালা নাই,আইজকু আমার মন ভালা নায়
তুমি কি করো ?,ও মোনু হর কি?,তুঁই কি গরো?,তুমি কিতা করো?,তুমি কিআ করর ?,তুমি কিতা খরো?
এই গরমে আমার কিছু ভালো লাগে না,এই থাডা পরা গরমে মোর কিস্সু ভাল্লাগেনা,এই গরমত আত্তুন কিচু বালা ন লাগের,এই গরমডাত আমার কিছু ভালা লাগে না,এতো গরমে আর কিচ্ছু ভালা লাগে না,অউ গরমো আমার কুনতা ভালা লাগের না
ছেলেটি সাদা রঙয়ের একটি শার্ট পরে এসেছিল,পলাউগ্গা এউক্কা ধলা রং এর এউক্কা গুন্জি পইর্রা আইসেল,ফোয়াইবা সাদা রংওর উজ্ঞা শার্ট ফরি আইস্যিল,ছেড়াটা সাদা রংগের একটা শার্ট পইড়া আইছিল,পোলাডা একটা সাদা রং এর শার্ট পড়ি আইসিলো,ফুয়াটায় এখটা সাদা রংগর শার্ট পিন্দিয়া আইছিল
মেয়েটি লাল রঙয়ের শাড়ি পরে আমার সাথে দেখা করতে এসেছিল,মাইআউগ্গা লাল  রুঙ্গা  শাড়ি পইর্রা মর লগে দেহা হর্তে আইসিলো,মাইফোয়াইবা লাল রংওর শারি ফরি আঁর লই দেহা গইর্ তো আইস্যে,ছেড়িটা লাল রংগের শাড়ি পইরা আমার সাথে দেখা করতে আইসিল,মাইয়াডা লাল রং এর শাড়ি পরি আমার লগে দেখা করতে আইসিলো,ফুড়িটায় লাল রংগর শাড়ি পিন্দিয়া মোর লগে দেখা করাত আইছিল
ছেলেটি সিলেট থেকে ঢাকায় এসেছে,পলাউগ্গা শ্যলেত দিয়া ধাহা আইসেলে,ফোয়াইবা সিলেটত্তুন ঢাহা আইস্যে,ছেড়াটা সিলেটতন ঢাকাত আইসে,পোলাডা সিলেট থেইকা ঢাকায় আইসে,ফুয়াটায় সিলেট থাকি ঢাকাত আইছে
মেয়েটি সিলেট থেকে আসা এই ছেলেটিকে অনেক ভালবাসে,মাইআউগ্গা শ্যলেত দিআ আঔআ পলাউগ্গারে আক্সের ভালপায়,মাইফোয়া ইবা সিলেটত্তুন আইস্যেদে ফোয়া ইবারে বঊত বালবাসে,ছেড়িটা সিলেট থাইকা আসা অই ছেড়াটারে অনেক ভালবাসে,মাইয়াডা সিলেট থেইকা আশা পোলাডারে অনেক ভালোবাসে,ফুড়িটায় সিলেট থাকি আওয়া অউ ফুয়াটারে অনেক ভালা পায়
ছেলেটি মেয়েটাকে এখনো ভালবাসার চোখে দেখেনি,পলাউগ্গা মাইআউগ্গারে আহন ভালপাঔআর ছহে দেহেনাই,ফোয়াইবা মাইফোয়া ইবারে আইযো বালবাসার চোকে ন দেহে,ছেড়াটা ছেড়িটারে এখনো ভালবাসার চোখে দেখে নাই,পোলাডা মাইয়াডারে এখনো ভালোবাসার চোখে দেখেনো,ফুয়াটায় এবো ধরি ফুড়িটারে ভালা পাওয়ার চউকে দেখছে না
মেয়েটি তাঁর সব স্বপ্নের মধ্যে ছেলেটাকে কল্পনা করে,মাইআউগ্গা হেয়ার শব হপ্পনের মইদ্ধে পলাউগ্গারে ভাব্তে থাহে,মাইফোয়া ইবা তার বেজ্ঞিন সফ্নর মইদ্দে ফোয়াইবারে কল্ফনা গরে,ছেড়িটা তার সপ্নের মধ্যে ছেড়াটারে কল্পনা করে,মাইয়াদা  হিগার  স্বপ্নের ভিতরে খালি পোলাগারে লই চিন্তা করতে থাকে,ফুড়িটাায় তাইর হখল সফনর মাজে ফুয়াটারে কল্পনা করে
